"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Создание заказа с невалидным ID питомца","188","Создание заказа с невалидным ID питомца","tests.store","Tue Aug 05 23:06:35 UTC 2025","failed","Tue Aug 05 23:06:36 UTC 2025","TestStore","test_store","",""
"Создание питомца","946","Создание питомца","tests.pet","Tue Aug 05 23:06:11 UTC 2025","passed","Tue Aug 05 23:06:12 UTC 2025","TestPet","test_pet","",""
"Удаление пользователя.","5751","Удаление пользователя","tests.user","Tue Aug 05 23:06:39 UTC 2025","passed","Tue Aug 05 23:06:45 UTC 2025","TestUser","test_user","",""
"Создание заказа с невалидными данными","188","Создание заказа с невалидными данными","tests.store","Tue Aug 05 23:06:35 UTC 2025","failed","Tue Aug 05 23:06:35 UTC 2025","TestStore","test_store","",""
"Создание питомца","191","Создание питомца","tests.pet","Tue Aug 05 23:06:12 UTC 2025","passed","Tue Aug 05 23:06:12 UTC 2025","TestPet","test_pet","",""
"Создание заказа с невалидным статусом","187","Создание заказа с невалидным статусом","tests.store","Tue Aug 05 23:06:35 UTC 2025","failed","Tue Aug 05 23:06:35 UTC 2025","TestStore","test_store","",""
"Получение информации о заказе по несуществующему ID","195","Получение информации о заказе по несуществующему ID","tests.store","Tue Aug 05 23:06:39 UTC 2025","passed","Tue Aug 05 23:06:39 UTC 2025","TestStore","test_store","",""
"Создание питомца","191","Создание питомца","tests.pet","Tue Aug 05 23:06:12 UTC 2025","passed","Tue Aug 05 23:06:12 UTC 2025","TestPet","test_pet","",""
"Создание и получение информации о заказе","5830","Создание и получение информации о заказе","tests.store","Tue Aug 05 23:06:44 UTC 2025","passed","Tue Aug 05 23:06:50 UTC 2025","TestStore","test_store","",""
"Создание заказа с невалидным ID","188","Создание заказа с невалидным ID","tests.store","Tue Aug 05 23:06:35 UTC 2025","failed","Tue Aug 05 23:06:35 UTC 2025","TestStore","test_store","",""
"Создание пользователя из массива.","597","Создание пользователя из массива","tests.user","Tue Aug 05 23:06:44 UTC 2025","passed","Tue Aug 05 23:06:44 UTC 2025","TestUser","test_user","",""
"Создание и удаление заказа","5795","Создание и удаление заказа","tests.store","Tue Aug 05 23:06:33 UTC 2025","passed","Tue Aug 05 23:06:39 UTC 2025","TestStore","test_store","",""
"Удаление заказа по несуществующему ID","187","Удаление заказа по несуществующему ID","tests.store","Tue Aug 05 23:06:34 UTC 2025","passed","Tue Aug 05 23:06:35 UTC 2025","TestStore","test_store","",""
